test,factor,target,n,statistic,p_raw,direction,p_bh,sig,sig_bh
Mann-Whitney,"valence (pos vs neg, event-level)",delay_b_ms,1882,433491.5,0.0222169461491157,pos μ=1761 (n=1206) vs neg μ=1621 (n=676); Δ=+141 ms,0.9768037531906704,*,ns
Spearman,VR experience,delay_b_med,35,0.2927519369136536,0.08788476889639672,ρ=+0.293,0.9768037531906704,ns,ns
Mann-Whitney,"saliency (hi vs lo, event-level)",delay_c_ms,2107,555932.5,0.11656953257212947,hi μ=2053 (n=1256) vs lo μ=1976 (n=851); Δ=+77 ms,0.9768037531906704,ns,ns
Mann-Whitney,"saliency (hi vs lo, event-level)",delay_a_ms,1586,290371.5,0.13099173387425397,hi μ=247 (n=938) vs lo μ=255 (n=648); Δ=-8 ms,0.9768037531906704,ns,ns
Mann-Whitney,"valence (pos vs neg, per-subject)",delay_b_med,108,6460.5,0.1714981430121556,pos > neg by 62 ms,0.9768037531906704,ns,ns
Spearman,Memory score (event recall),delay_b_med,35,-0.2332053371198065,0.17758391131941714,ρ=-0.233,0.9768037531906704,ns,ns
Spearman,Presence: captivated,delay_b_med,35,0.2331145839122911,0.17775748922751947,ρ=+0.233,0.9768037531906704,ns,ns
Mann-Whitney,"saliency (hi vs lo, event-level)",delay_b_ms,1882,441082.0,0.23845301059648316,hi μ=1742 (n=1116) vs lo μ=1665 (n=766); Δ=+77 ms,0.9768037531906704,ns,ns
Spearman,Conscientiousness,delay_b_med,35,0.1976700842368879,0.2550217726958991,ρ=+0.198,0.9768037531906704,ns,ns
Mann-Whitney,"valence (pos vs neg, per-subject)",delay_a_med,106,6109.0,0.2720451393119653,pos > neg by 7 ms,0.9768037531906704,ns,ns
Mann-Whitney,"valence (pos vs neg, event-level)",delay_a_ms,1586,286744.0,0.37029059882179494,pos μ=252 (n=1059) vs neg μ=246 (n=527); Δ=+6 ms,0.9768037531906704,ns,ns
Spearman,Agreeableness,delay_b_med,35,0.15272201359393167,0.3811081085139091,ρ=+0.153,0.9768037531906704,ns,ns
Spearman,Presence: images felt as space,delay_b_med,35,-0.1512573470012685,0.385745957103273,ρ=-0.151,0.9768037531906704,ns,ns
Spearman,Neuroticism,delay_a_med,35,-0.1394485640076078,0.42432378558402073,ρ=-0.139,0.9768037531906704,ns,ns
Spearman,Expressivity,delay_a_med,35,-0.13800846401241604,0.42917090443753536,ρ=-0.138,0.9768037531906704,ns,ns
Spearman,Presence: images felt as space,delay_a_med,35,0.1334188561835956,0.4448217656464234,ρ=+0.133,0.9768037531906704,ns,ns
Spearman,Presence: being there,delay_b_med,35,-0.11743738158465286,0.5016680254941215,ρ=-0.117,0.9768037531906704,ns,ns
Spearman,DASS stress,delay_b_med,35,-0.11550425614448097,0.5087838370068587,ρ=-0.116,0.9768037531906704,ns,ns
Spearman,Expressivity,delay_b_med,35,0.10684246766447952,0.5412753955483864,ρ=+0.107,0.9768037531906704,ns,ns
Spearman,Presence: captivated,delay_a_med,35,0.10230623519743416,0.5586763997401949,ρ=+0.102,0.9768037531906704,ns,ns
Spearman,Empathy,delay_a_med,35,-0.10199297403258255,0.5598875669920834,ρ=-0.102,0.9768037531906704,ns,ns
Spearman,DASS depression,delay_b_med,35,-0.10178850951724587,0.5606787461190714,ρ=-0.102,0.9768037531906704,ns,ns
Spearman,VR experience,delay_a_med,35,0.09621251749160319,0.5824515726467414,ρ=+0.096,0.9768037531906704,ns,ns
Spearman,DASS depression,delay_a_med,35,0.09500652976452,0.5872096586300106,ρ=+0.095,0.9768037531906704,ns,ns
Spearman,Agreeableness,delay_a_med,35,-0.07138410977154926,0.6836427541385572,ρ=-0.071,0.9768037531906704,ns,ns
Spearman,DASS anxiety,delay_b_med,35,-0.06927558245269967,0.6925246492749717,ρ=-0.069,0.9768037531906704,ns,ns
Spearman,Openness,delay_a_med,35,-0.06581857950074418,0.7071739725861181,ρ=-0.066,0.9768037531906704,ns,ns
Spearman,Neuroticism,delay_b_med,35,-0.0573915293416989,0.7433109076138991,ρ=-0.057,0.9768037531906704,ns,ns
Spearman,DASS stress,delay_a_med,35,0.05530103499333265,0.7523629821954386,ρ=+0.055,0.9768037531906704,ns,ns
Spearman,Extraversion,delay_a_med,35,-0.050849323342843575,0.7717465987691382,ρ=-0.051,0.9768037531906704,ns,ns
Spearman,Openness,delay_b_med,35,-0.050053098208092894,0.7752282648582308,ρ=-0.050,0.9768037531906704,ns,ns
Mann-Whitney,gender (1.0 vs 2.0),delay_b_med,35,161.0,0.7783552066087398,1 > 2 by 44 ms,0.9768037531906704,ns,ns
Spearman,Conscientiousness,delay_a_med,35,-0.048237714095884676,0.7831824558302973,ρ=-0.048,0.9768037531906704,ns,ns
Mann-Whitney,"valence (pos vs neg, per-subject)",delay_c_med,108,5953.0,0.793030276877398,pos > neg by 44 ms,0.9768037531906704,ns,ns
Spearman,Presence: being there,delay_a_med,35,0.04553456988463809,0.7950663407631676,ρ=+0.046,0.9768037531906704,ns,ns
Spearman,Alexithymia,delay_a_med,35,0.02658344741294358,0.8795144351038422,ρ=+0.027,0.9768037531906704,ns,ns
Mann-Whitney,"valence (pos vs neg, event-level)",delay_c_ms,2107,498822.0,0.8880260695875275,pos μ=2038 (n=1394) vs neg μ=1990 (n=713); Δ=+48 ms,0.9768037531906704,ns,ns
