idx,pid,scene,saliency,event_time_s,delay_a_ms,delay_c_thr_ms,delay_c_deriv_ms,delay_c_ms,delay_b_ms,a_valid,c_valid,b_valid,delay_a_ch0_ms,delay_a_ch1_ms,delay_a_ch2_ms,delay_a_ch3_ms,delay_a_ch4_ms,delay_a_ch5_ms,delay_a_ch6_ms,delay_a_ch7_ms,delay_a_ch8_ms
0,100002,positive,low,4.791,352.0,,,,,True,False,False,,,,,,,,,352.0
1,100002,positive,high,15.456,39.0,2106.0,2056.0,2106.0,2067.0,False,True,True,,,,39.0,,,,,
2,100002,positive,high,23.308,80.0,,,,,False,False,False,162.0,,100.0,80.0,111.0,,90.0,90.0,
3,100002,positive,high,29.896,,,,,,False,False,False,,,,,,,,,
4,100002,positive,high,30.506,451.0,,,,,True,False,False,451.0,,,,,,,,
5,100002,positive,high,31.98,367.0,4522.0,4471.5,4522.0,4155.0,True,True,True,,,367.0,,,,458.0,458.0,512.0
6,100002,positive,low,34.973,234.0,1510.0,1459.5001220703125,1510.0,1276.0,True,True,True,,,234.0,,,,,,432.0
7,100002,positive,low,43.262,,,,,,False,False,False,,,,,,,,,
8,100002,positive,low,49.489,237.0,,,,,True,False,False,237.0,,,,,,,,249.0
9,100002,positive,low,49.985,104.0,,,,,True,False,False,104.0,,,,,,,,
10,100002,positive,low,54.115,222.0,,,,,True,False,False,,,,222.0,,,,,
11,100002,positive,high,54.98,273.0,,,,,True,False,False,273.0,473.0,,,,,,,
12,100002,positive,low,65.019,20.0,,,,,False,False,False,,,,20.0,,,,,
13,100002,positive,high,72.602,25.0,,,,,False,False,False,,,,25.0,,,,,
14,100003,positive,high,1.382,,827.0,777.0,827.0,,False,True,False,,,,,,,,,
15,100003,positive,high,2.749,129.0,8.0,58.000003814697266,8.0,-121.0,True,False,False,129.0,327.0,165.0,144.0,,,,,
16,100003,positive,high,4.402,10.0,,1153.0,1153.0,1143.0,False,True,True,,,,,,,10.0,10.0,
17,100003,positive,low,4.995,48.0,,553.0,553.0,505.0,False,True,True,,,48.0,,,,,,
